Title,Area_sqft,Price,Landmark,Price per Sqft,Furnishing
"3 BHK Flat  for Sale in Lodha Aura, Wadala, Mumbai",1115 sqft,₹4.35 Cr,Lodha Aura,"₹20,872 per sqft",1115 sqft
"2 BHK Flat  for Sale in The Palace Tower, Vinay Nagar, Mumbai",Poss. by Dec '26,₹1.15 Cr,The Palace Tower,"₹22,892 per sqft",Poss. by Dec '26
"2 BHK Flat  for Sale in Godrej Reserve, Kandivali East, Mumbai",New Property,₹2.25 Cr,Godrej Reserve,"₹31,556 per sqft",New Property
"2 BHK Flat  for Sale in Northern Hills, Dahisar East, Mumbai",Unfurnished,₹1.80 Cr,Northern Hills,"₹27,850 per sqft",Unfurnished
"2 BHK Flat  for Sale in AV Pride, Nalasopara West, Mumbai",Lodha Aura,₹50.9 Lac,AV Pride,"₹44,431 per sqft",Lodha Aura
"2 BHK Flat  for Sale in Samarth Aura, Bhandup West, Mumbai",3,₹1.37 Cr,Samarth Aura,"₹39,103 per sqft",3
"2 BHK Flat  for Sale in Hubtown Seasons, Chembur, Mumbai",516 sqft,₹2.30 Cr,Hubtown Seasons,"₹34,121 per sqft",516 sqft
"3 BHK Flat  for Sale in Kalpataru Elitus, Mulund West, Mumbai",Poss. by Dec '28,₹2.80 Cr,Kalpataru Elitus,"₹32,905 per sqft",Poss. by Dec '28
"2 BHK Flat  for Sale in Godrej Horizon, Wadala, Mumbai",New Property,₹3.34 Cr,Godrej Horizon,Nan,New Property
"2 BHK Flat  for Sale in BKC 9, Bandra East, Mumbai",Unfurnished,₹2.60 Cr,BKC 9,Nan,Unfurnished
"2 BHK Flat  for Sale in Rivali Park Moonrise, Borivali East, Mumbai",The Palace Tower,₹1.90 Cr,Rivali Park Moonrise,Nan,The Palace Tower
"2 BHK Flat  for Sale in Om Mayuresh, Mulund East, Mumbai",2,₹1.70 Cr,Om Mayuresh,Nan,2
